CHAR	REPLACEMENT
0xf0e9	ɨ
0xf0a7	ʂ
0xf053	ʃ
0xf022	ˈ
0xf042	β
0xf046	ɸ
0xf026	᷈
0xf021	́
0xf0e0	
0xf07c	ɾ
0xf0da	́
0xf078	x
0xf0c7	ɽ
0xf04f	ɔ
0xf020	ɸ
0xf029	̃
0xf08c	ɐ
0xf06e	n
0xf02a	̆
0xf0ab	ə
0xf048	ɦ
0xf040	̄
0xf0ac	ɯ
0xf0f1	ɬ
0xf055	̄ʊ
0xf03b	;
0xf069	i
0xf0a5	∞
0xf05d	]
0xf061	a
0xf0a1	͡
0xf04e	ŋ
0xf073	s
0xf098	ɞ
0xf02e	.
0xf0af	ɤ
0xf06c	l
0xf06d	m
0xf0bd	ʐ
0xf05b	[
0xf05a	ʒ
0xf065	e
0xf0e4	ɜ
0x301	́
