ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
6569	Sharanawa	adam's apple	tɨtokon	tɨtokon	t ɨ t o k o n	None	400	t ɨ ( - ) t o - ( k o n )
6570	Amawaka	adam's apple	tɨtõ	tɨtõ	t ɨ t õ	II	400	t ɨ ( - ) t õ - ( - - - )
6571	Amawaka	adam's apple	tɨ́́ʃpí	tɨ́́ʃpí	t !ɨ́/ɨ ʃ p !í/i	None	809	t !ɨ́/ɨ ( ʃ ) - - ( p !í/i ) - ( - )
6572	Kaxinawa	adam's apple	tɨtuku	tɨtuku	t ɨ t u k u	None	400	t ɨ ( - ) t u - ( k u - )
6573	Marinawa	adam's apple	tɨ́ś_tõ	tɨ́ś_tõ	t !ɨ́/ɨ s t õ	None	400	t !ɨ́/ɨ ( s ) t õ - ( - - - )
6576	Mayoruna	adam's apple	tɨon	tɨon	t ɨ o n	None	671	t ɨ ( - ) - o ( - - ) n ( - )
7073	Proto-Panoan	afternoon	yãtan	yãtan	j ã t a n	None	445	j ã t a n
7074	Kakataibo	afternoon	atã́	atã́	a t !ã́/ã	None	445	- a t !ã́/ã -
7075	ShipiboKonibo	afternoon	yãtã́	yãtã́	j ã t !ã́/ã	None	445	j ã t !ã́/ã -
7076	Kapanawa	afternoon	yantán	yantán	j a !n.t/t !á/a n	None	445	j a !n.t/t !á/a n
7077	Chakobo	afternoon	yáta	yáta	j !á/a t a	None	445	j !á/a t a -
7079	Yaminawa	afternoon	yãta	yãta	j ã t a	None	445	j ã t a -
7080	Sharanawa	afternoon	yatan	yatan	j a t a n	None	445	j a t a n
7081	Amawaka	afternoon	yãtã	yãtã	j ã t ã	II	445	j ã t ã -
7082	Marinawa	afternoon	yátã	yátã	j !á/a t ã	None	445	j !á/a t ã -
7083	Yawanawa	afternoon	jãˈtã	jãˈtã	j ã t ã	None	445	j ã t ã -
1743	Proto-Panoan	amber	[ts]is[t]o	[ts]is[t]o	ts i s t o	None	18	ts i s t o
1745	Chakobo	amber	tsisto	tsisto	ts i s t o	None	18	ts i s t o
