Grapheme	IPA	Examples	Languages	Frequence	Codepoints
s	s	ʔisko, isku	Amawaka, Sharanawa, Kakataibo, ShipiboKonibo, Chakobo, Kapanawa, Kaxinawa, Marinawa, Katukina, Marubo, Mayoruna, Yawanawa, Kaxarari, Shanenawa, Yaminawa, Poyanawa, Chaninawa	100	U+0073
^t	t	taka, taɨ	Sharanawa, ShipiboKonibo, Kaxinawa, Mayoruna, Yaminawa, Amawaka, Chakobo, Kapanawa, Katukina, Shanenawa, Kakataibo, Marinawa, Korubo, Chaninawa, MattisList, Poyanawa, Yawanawa, Kaxarari	100	U+005e U+0074
u$	u	tsu-, ipu	Kaxinawa, Shanenawa, Yawanawa, Katukina, Poyanawa, Kaxarari, Mayoruna, MattisList, Korubo, Chaninawa, Kakataibo, Marubo	100	U+0075 U+0024
w	w	βawa, awa	Marubo, Sharanawa, Chakobo, ShipiboKonibo, Marinawa, MattisList, Korubo, Katukina, Kapanawa, Kaxinawa, Shanenawa, Kaxarari, Poyanawa, Amawaka, Mayoruna, Chaninawa, Kakataibo	100	U+0077
r	r	koro, kari	Kaxinawa, Sharanawa, Amawaka, Kapanawa, Kakataibo, ShipiboKonibo, Mayoruna, Marinawa, Chakobo, Katukina, Marubo, Yaminawa, Poyanawa	100	U+0072
^β	β	βatʃi, βata	ShipiboKonibo, Kakataibo, Kapanawa, Chakobo, Katukina, Yawanawa, Amawaka, Korubo, Poyanawa, MattisList, Kaxinawa, Marubo, Kaxarari	100	U+005e U+03b2
^i	i	ia, ipu	Sharanawa, Kaxinawa, Amawaka, Katukina, Kaxarari, Yaminawa, Marubo, Yawanawa, MattisList, Marinawa, Shanenawa, Chaninawa, Mayoruna, Poyanawa, Korubo, Chakobo, Kakataibo, ShipiboKonibo, Kapanawa	100	U+005e U+0069
^r	r	rama, raka-	Sharanawa, ShipiboKonibo, Kapanawa, Amawaka, Chakobo, Kakataibo, Marinawa, Katukina, Yaminawa, Marubo, Chaninawa, Shanenawa, Kaxinawa, Mayoruna	100	U+005e U+0072
e	e	llegar_a_ser_o_ponerse_gris, água_en_ambiente_natural	Mayoruna, Kaxinawa, Amawaka, MattisList, Sharanawa, Kakataibo, Kapanawa, Marinawa, Korubo, ShipiboKonibo, Yaminawa, Chakobo	100	U+0065
^h	h	ha, haka	ShipiboKonibo, Chakobo, Kapanawa, Amawaka, Kaxinawa, Kaxarari, Katukina, Shanenawa, Chaninawa, Sharanawa, Yawanawa	100	U+005e U+0068
