Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^_	_	-_ama, -_hu	Poyanawa, Yawanawa, MattisList, Shanenawa, Kapanawa, Marubo, Yaminawa, Mayoruna	10	U+005e U+005f
ˈʃ	ʃ	kɨˈʃa, yawaˈʃi	Marubo, Chakobo, Kaxarari, Korubo	10	U+02c8 U+0283
ɨɨ	ɨɨ	rawɨɨ_II, pakɨɨ-_I	Amawaka, Yaminawa, Kapanawa	10	U+0268 U+0268
nn	nn	inna-ai, isin-nai	Katukina, Mayoruna, Yawanawa	9	U+006e U+006e
óʂ$	óʂ	βakóʂ, kamóʂ	ShipiboKonibo, Kakataibo, Kapanawa	9	U+00f3 U+0282 U+0024
y$	y	nu᷈y, hay	Poyanawa, Chakobo, Shanenawa	9	U+0079 U+0024
ˈʔ	ʔ	βɨˈʔo, noˈʔi	Chakobo, Kaxarari	9	U+02c8 U+0294
ñ	ɲ	pɨñã, ʂoñɔɔ	Kakataibo, Sharanawa, ShipiboKonibo, Marinawa, Mayoruna	9	U+00f1
ṍ	ṍ	ɸṍnãti, kṍi᷈	Marinawa, ShipiboKonibo, Kakataibo	9	U+1e4d
^ˈm	m	ˈmaka, ˈmɨtsis	Chakobo, Marubo, Kaxarari	9	U+005e U+02c8 U+006d
^ˈʃ	ʃ	ˈʃukɨ, ˈʃawã	Marubo	9	U+005e U+02c8 U+0283
ns	ns	punsi, tonsura	Katukina, MattisList, Kaxinawa, Amawaka, Mayoruna	8	U+006e U+0073
l$	l	metal, veneno_mortal	Mayoruna, Amawaka, Kapanawa, Kakataibo, Kaxinawa	8	U+006c U+0024
ũ$	ũ	bɨ́ũ, bɨtʃũ-	Kaxinawa	8	U+0169 U+0024
^ˈp	p	ˈpitso, ˈpaka	Marubo, Chakobo, Kaxarari	8	U+005e U+02c8 U+0070
rs	rs	vendarse_o_taparse_con_una_cosa’, una_persona	Chakobo, Sharanawa, Kapanawa, Kaxinawa, Marinawa, Mayoruna	7	U+0072 U+0073
^j	j	jardín, joˈpɨʂɨ__hopɨ́ʂɨ	Kaxinawa, Shanenawa, Chakobo, Marinawa, Mayoruna	7	U+005e U+006a
^ó	ó	ótsisi, ónó	Marinawa	7	U+005e U+00f3
^ˈw	w	ˈwaka, ˈwakapaʃa	Marubo	7	U+005e U+02c8 U+0077
ɔɔ$	ɔɔ	nɔɔ, ʂoñɔɔ	Kakataibo	7	U+0254 U+0254 U+0024
^ˈβ	β	ˈβatoma, ˈβopa	Chakobo, ShipiboKonibo, Amawaka	7	U+005e U+02c8 U+03b2
ɬ	ɬ	waɬa, aβi_βiɬiβi	Korubo	7	U+026c
w$	w	tsaw, ʃiw	Shanenawa, Poyanawa, Yawanawa	7	U+0077 U+0024
^ɬ	ɬ	ɬakute, ɬɨos	Korubo	7	U+005e U+026c
^ñ	ɲ	ñoká-, ñɔɔ	Kakataibo	7	U+005e U+00f1
x$	x	pákɨx, hónpox	Amawaka	6	U+0078 U+0024
ɔ	ɔ	apɔɔ́́, ʔɔˈɔ	Kakataibo	6	U+0254
ú	ú	un_baúl_o_un_cartón, ʔupús	Kakataibo, Mayoruna, Sharanawa, Kaxinawa	6	U+00fa
^M	<?>	Mt_piak, Matsoin	Korubo, Kaxinawa, Sharanawa, Marubo	6	U+005e U+004d
^tʂ	ʈʂ	tʂaʂu, tʂanpi	MattisList, Mayoruna, Kaxarari	6	U+005e U+0074 U+0282
^ˈy	y	ˈyora, ˈyoβɨka	Chakobo, Marubo	6	U+005e U+02c8 U+0079
^ˈi	i	ˈiwiʃaka, ˈia	Marubo	5	U+005e U+02c8 U+0069
^i᷈	i᷈	i᷈ã, i᷈nã-	Marubo, Kaxinawa, Marinawa, Amawaka, Poyanawa	5	U+005e U+0069 U+1dc8
ˈl	l	biˈla, iˈlahi	Kaxarari	5	U+02c8 U+006c
ũ	ũ	bũi᷈, raʔũti	Kaxinawa, Katukina	5	U+0169
^u᷈	u᷈	u᷈di, u᷈i᷈ti	Poyanawa, Yawanawa, Marubo	5	U+005e U+0075 U+1dc8
ɔɔ	ɔɔ	nɔɔβai_o_nɔɔ́́βai, tɔɔ_	Kakataibo	5	U+0254 U+0254
ˈtʃ	tʃ	baˈtʃi, biˈtʃi	Kaxarari, Mayoruna, Marubo	5	U+02c8 U+0074 U+0283
^ch	ch	chico, chaa-	Yaminawa, Mayoruna, Chakobo, Kaxinawa	5	U+005e U+0063 U+0068
^g	g	gordo, gorra	Mayoruna, Marinawa, Sharanawa, Kakataibo	5	U+005e U+0067
^ˈr	r	ˈravuʃɨ, ˈrɨwɨ	Marubo, Chakobo	5	U+005e U+02c8 U+0072
^ˈt	t	ˈtaɨ, ˈtaka	Marubo, Chakobo, Kaxarari	5	U+005e U+02c8 U+0074
^ˈa	a	ˈamɨ᷈, ˈaʂã-	Marinawa, Marubo	4	U+005e U+02c8 U+0061
^ɨ$	ɨ	ɨ, ɨ-	Marubo, Chakobo, Marinawa, Kaxinawa	4	U+005e U+0268 U+0024
ˈh	h	kaʃaˈho, uwa-_ˈhi	Kaxarari	4	U+02c8 U+0068
q	q	mesmo_porque_to, los_shipibo_consideran_que	Mayoruna, Amawaka, Kaxinawa	4	U+0071
ˈts	ts	unˈtsɨ, unˈtsis	Kakataibo, Mayoruna, Amawaka	4	U+02c8 U+0074 U+0073
óʂ	óʂ	móʂá, yóʂaɸo	Marinawa, Kapanawa	4	U+00f3 U+0282
ń	ń	rɨ́ń_ɨ́́-, wɨń_okín	Amawaka, Marinawa, Kapanawa	4	U+0144
nʃ	nʃ	kainʃa, iunʃin	Yawanawa, Kakataibo	4	U+006e U+0283
^ˈʂ	ʂ	ˈʂutʃi, ˈʂoya	Chakobo, Marubo	4	U+005e U+02c8 U+0282
^A	<?>	Atsa, Atsa_I	Amawaka, MattisList, Korubo	3	U+005e U+0041
áá$	áá	ʔáá, βáá	Amawaka	3	U+00e1 U+00e1 U+0024
ɔ$	ɔ	ʔi᷈ɔ, ñonɔ́́ɔ-	Kakataibo	3	U+0254 U+0024
ss	ss	excessivo, ɸisso	Marinawa, Kakataibo	3	U+0073 U+0073
^i$	i	i, i-	MattisList, Kakataibo, Kaxinawa	3	U+005e U+0069 U+0024
ˈi$	i	baˈi, βaˈi	ShipiboKonibo, Mayoruna, Chakobo	3	U+02c8 U+0069 U+0024
^ṍ	ṍ	ṍnã, ṍi᷈	Marinawa	3	U+005e U+1e4d
^ˈu	u	ˈuʃai, ˈunu	Marubo	3	U+005e U+02c8 U+0075
^ll	ll	llano, llamar_a_uma_fiesta	Kaxinawa, Kakataibo	3	U+005e U+006c U+006c
h$	h	hauh, atuh	Poyanawa	3	U+0068 U+0024
é	é	de_él, a_él	Mayoruna, Amawaka	3	U+00e9
A	<?>	--_A_paxko_II, tʃaʂo_A_tʃaxó_I	Poyanawa, Chakobo	3	U+0041
^K	<?>	Kanã_ɸakaiki, Kai᷈	Marinawa, ShipiboKonibo	3	U+005e U+004b
t᷈	t᷈	kɨt᷈_i, kɨt᷈_í	ShipiboKonibo, Amawaka, Kaxinawa	3	U+0074 U+1dc8
u᷈$	u᷈	mãˈʃu᷈, nu᷈nu᷈	Poyanawa, Marubo	3	U+0075 U+1dc8 U+0024
ãã$	ãã	yuˈwãã, ni᷈kãã	Marubo	3	U+00e3 U+00e3 U+0024
ów	ów	tówɨtí, xówaapán	Amawaka, Marinawa	3	U+00f3 U+0077
^ˈʔ	ʔ	ˈʔina_, ˈʔamɨno	Chakobo, Marinawa	2	U+005e U+02c8 U+0294
ˈi᷈$	ˈi᷈	aˈi᷈, nuˈi᷈	Marubo	2	U+02c8 U+0069 U+1dc8 U+0024
ˈi᷈	ˈi᷈	aˈi᷈vɞ, ʔaˈi᷈βo	ShipiboKonibo, Marubo	2	U+02c8 U+0069 U+1dc8
kk	kk	ak-kin, uk-kin	MattisList	2	U+006b U+006b
^ɔ$	ɔ	-ɔ	Kakataibo	2	U+005e U+0254 U+0024
ʔw	ʔw	iʔwan, aʔwan	Kapanawa	2	U+0294 U+0077
ʔs	ʔs	yaʔsamɨti, ʔiʔsá	Kapanawa	2	U+0294 U+0073
Ch	<?>	--_Chan_--, βii._Ch_βii	Yaminawa, Kapanawa	2	U+0043 U+0068
	<?>	ʔísinɸʔísinínɸ’dor’, uʃi᷈_unʃin	Amawaka, Kakataibo	2	U+f02c
’	<?>	ʔísinɸʔísinínɸ’dor’, dabi-ɸ’tener_vergüenza	Amawaka, Kaxinawa	2	U+2019
__	__	joˈpɨʂɨ__hopɨ́ʂɨ, isi᷈_-_I	Chakobo, Amawaka	2	U+005f U+005f
ˈu	u	iˈuɨ, ˈvimi_ˈua	Mayoruna, Marubo	2	U+02c8 U+0075
^ũ	ũ	ũi᷈-, ũpaʂ	Kaxinawa	2	U+005e U+0169
^óʂ	óʂ	óʂá, óʂópá	Marinawa	2	U+005e U+00f3 U+0282
^aa	aa	aatí, aatõ	Yaminawa, Marubo	2	U+005e U+0061 U+0061
L	<?>	colmillo._C.L._muela._Pico_de_papagayo, --._“Según_Loriot	Mayoruna	2	U+004c
ˈr	r	rɨpaˈra, awɨ_ˈrɨki᷈	Chakobo, Marubo	2	U+02c8 U+0072
vai_[βai]	<???>	vai_[βai]	Marubo	2	U+0076 U+0061 U+0069 U+005f U+005b U+03b2 U+0061 U+0069 U+005d
lh	lh	ton_parece_com_o_barulho_da_arma, filho	Mayoruna, Marubo	2	U+006c U+0068
é$	é	inalador_de_rapé, bebé	Sharanawa, Marubo	2	U+00e9 U+0024
<<	<?>	-ma-_<<causativo>>, bɨta_<<O>>	Mayoruna, Marinawa	2	U+003c U+003c
>>$	<?>	-ma-_<<causativo>>, bɨta_<<O>>	Mayoruna, Marinawa	2	U+003e U+003e U+0024
xw	xw	wixwa-, naxwaa_I	Amawaka	2	U+0078 U+0077
buku_[buˈku]	<???>	buku_[buˈku]	Mayoruna, MattisList	2	U+0062 U+0075 U+006b U+0075 U+005f U+005b U+0062 U+0075 U+02c8 U+006b U+0075 U+005d
ós	ós	pósɨ, ɸósi᷈	Marinawa	2	U+00f3 U+0073
ʔ$	ʔ	tsoʔ-, -katsiʔ-	Kapanawa	2	U+0294 U+0024
^ɨ́	ɨ́	ɨ́ḱ_ɨ..., ɨ́nɨ́-	Marinawa, MattisList	2	U+005e U+0268 U+0301
^ɨ᷈	ɨ᷈	ɨ᷈_noi_ʃavo, ɨ᷈ʂɨ	Kakataibo, Marubo	2	U+005e U+0268 U+1dc8
P	<?>	colmillo._C.L._muela._Pico_de_papagayo, --_Poy_--	Mayoruna, Yawanawa	2	U+0050
a᷈$	a᷈	mɨɨa᷈, káma᷈	Yaminawa, Amawaka	2	U+0061 U+1dc8 U+0024
ts$	ts	nits-, -kats	Kakataibo	2	U+0074 U+0073 U+0024
K	<?>	SK_--, kɨɾɨ_Ko_--	Yawanawa, Kakataibo	2	U+004b
	<?>	ʃiɸI, ˈkɨnɨʂɨn	ShipiboKonibo, Amawaka	2	U+f06b
maʂaˈhu_[maʂaˈɦu]	<???>	maʂaˈhu_[maʂaˈɦu]	Kaxarari	2	U+006d U+0061 U+0282 U+0061 U+02c8 U+0068 U+0075 U+005f U+005b U+006d U+0061 U+0282 U+0061 U+02c8 U+0266 U+0075 U+005d
maʂukud_[maˈʂukud]	<???>	maʂukud_[maˈʂukud]	Mayoruna	2	U+006d U+0061 U+0282 U+0075 U+006b U+0075 U+0064 U+005f U+005b U+006d U+0061 U+02c8 U+0282 U+0075 U+006b U+0075 U+0064 U+005d
ee	ee	mee_, mee_poto	Kakataibo	2	U+0065 U+0065
t́	t́	tɨ́t́_ɨ́́, mɨ́t́ótí	Marinawa	2	U+0074 U+0301
c$	c	nimëduc, etc.	Mayoruna, Sharanawa	2	U+0063 U+0024
ɔ́́	ɔ́	ñonɔ́́ɔ-, nɔɔβai_o_nɔɔ́́βai	Kakataibo	2	U+0254 U+0301 U+0301
ˈb	b	niˈbi, niˈbitʃi	Chakobo	2	U+02c8 U+0062
^o$	o	o, o-	Kakataibo	2	U+005e U+006f U+0024
ă$	ă	ūă, ˈʃɐ̄᷈nă-	Marubo	2	U+0103 U+0024
^u$	u	u-	Shanenawa, Yawanawa	2	U+005e U+0075 U+0024
j$	j	faj, pɨj	Shanenawa	2	U+006a U+0024
ˈv	v	yaˈviʃi, raˈvɨvaki᷈	Marubo	2	U+02c8 U+0076
tʃãburu_[tʃɐ᷈buˈɾu]	<???>	tʃãburu_[tʃɐ᷈buˈɾu]	Kaxarari	2	U+0074 U+0283 U+00e3 U+0062 U+0075 U+0072 U+0075 U+005f U+005b U+0074 U+0283 U+0250 U+1dc8 U+0062 U+0075 U+02c8 U+027e U+0075 U+005d
rani_[ɾaˈni]	<???>	rani_[ɾaˈni]	Katukina, Yawanawa	2	U+0072 U+0061 U+006e U+0069 U+005f U+005b U+027e U+0061 U+02c8 U+006e U+0069 U+005d
a᷈	a᷈	ta᷈bu, ra᷈tu᷈-ti	Poyanawa, Kakataibo	2	U+0061 U+1dc8
^Ch	<?>	Chan_atsa	Yaminawa	1	U+005e U+0043 U+0068
ˈa	a	wɨˈan_ʔani	Kapanawa	1	U+02c8 U+0061
ani_[ˈɐ᷈ni-]	<???>	ani_[ˈɐ᷈ni-]	Marubo	1	U+0061 U+006e U+0069 U+005f U+005b U+02c8 U+0250 U+1dc8 U+006e U+0069 U+002d U+005d
lakihani_[lakiɦaˈi]224	<???>	lakihani_[lakiɦaˈi]224	Kaxarari	1	U+006c U+0061 U+006b U+0069 U+0068 U+0061 U+006e U+0069 U+005f U+005b U+006c U+0061 U+006b U+0069 U+0266 U+0061 U+02c8 U+0069 U+005d U+0032 U+0032 U+0034
ˈɔ$	ɔ	ʔɔˈɔ	Kakataibo	1	U+02c8 U+0254 U+0024
ˈ	<?>	ʔaˈa	Kapanawa	1	U+02c8 U+f077
[awaˈtʃa]	<???>	[awaˈtʃa]	Kaxarari	1	U+005b U+0061 U+0077 U+0061 U+02c8 U+0074 U+0283 U+0061 U+005d
awa_[awˈa]	<???>	awa_[awˈa]	Katukina	1	U+0061 U+0077 U+0061 U+005f U+005b U+0061 U+0077 U+02c8 U+0061 U+005d
^áá	áá	áá_I	Amawaka	1	U+005e U+00e1 U+00e1
ɞ$	ɞ	aˈi᷈vɞ	Marubo	1	U+025e U+0024
^ˈã	ã	ˈãwi᷈	Marinawa	1	U+005e U+02c8 U+00e3
ee$	ee	ʔee-	Kakataibo	1	U+0065 U+0065 U+0024
^ʔw	ʔw	ʔwan	Kapanawa	1	U+005e U+0294 U+0077
ɐ᷈$	ɐ᷈	ʃawɨwɐ᷈	Marubo	1	U+0250 U+1dc8 U+0024
ˈy	y	iˈya	Kaxarari	1	U+02c8 U+0079
iˈan_[ˈi᷈ˈɐ᷈]	<???>	iˈan_[ˈi᷈ˈɐ᷈]	Marubo	1	U+0069 U+02c8 U+0061 U+006e U+005f U+005b U+02c8 U+0069 U+1dc8 U+02c8 U+0250 U+1dc8 U+005d
ianɨ_[iaˈnɨ]	<???>	ianɨ_[iaˈnɨ]	Kaxarari	1	U+0069 U+0061 U+006e U+0268 U+005f U+005b U+0069 U+0061 U+02c8 U+006e U+0268 U+005d
í᷈	í᷈	ʔí᷈yan	Amawaka	1	U+00ed U+1dc8
ikβo_[iʔˈβo]	<???>	ikβo_[iʔˈβo]	Korubo	1	U+0069 U+006b U+03b2 U+006f U+005f U+005b U+0069 U+0294 U+02c8 U+03b2 U+006f U+005d
ikbo_[ikˈbo]	<???>	ikbo_[ikˈbo]	Mayoruna	1	U+0069 U+006b U+0062 U+006f U+005f U+005b U+0069 U+006b U+02c8 U+0062 U+006f U+005d
ʔisa_[ˈisa]	<???>	ʔisa_[ˈisa]	Chakobo	1	U+0294 U+0069 U+0073 U+0061 U+005f U+005b U+02c8 U+0069 U+0073 U+0061 U+005d
^I	<?>	Iná_I	Amawaka	1	U+005e U+0049
ʔiso_[ʔīsɞ̆]	<???>	ʔiso_[ʔīsɞ̆]	Marubo	1	U+0294 U+0069 U+0073 U+006f U+005f U+005b U+0294 U+012b U+0073 U+025e U+0306 U+005d
na͡iˈwɨ_[na͡iˈwɨ]	<???>	na͡iˈwɨ_[na͡iˈwɨ]	Kaxarari	1	U+006e U+0061 U+0361 U+0069 U+02c8 U+0077 U+0268 U+005f U+005b U+006e U+0061 U+0361 U+0069 U+02c8 U+0077 U+0268 U+005d
^ii	ii	ii_I	Amawaka	1	U+005e U+0069 U+0069
^ˈi$	i	ˈi	Mayoruna	1	U+005e U+02c8 U+0069 U+0024
ós$	ós	ʔopós	Kakataibo	1	U+00f3 U+0073 U+0024
ue_[wé]	<???>	ue_[wé]	Mayoruna	1	U+0075 U+0065 U+005f U+005b U+0077 U+00e9 U+005d
^i᷈i᷈$	i᷈i᷈	i᷈i᷈-	Amawaka	1	U+005e U+0069 U+1dc8 U+0069 U+1dc8 U+0024
ʃ	<?>	ˈwakapaʃa	Marubo	1	U+f0ae U+0283
õpaʂ_[ɞ᷈ˈpaʂ]	<???>	õpaʂ_[ɞ᷈ˈpaʂ]	Yaminawa	1	U+00f5 U+0070 U+0061 U+0282 U+005f U+005b U+025e U+1dc8 U+02c8 U+0070 U+0061 U+0282 U+005d
[u᷈ˈsɐ᷈ɐ]᷈	<???>	[u᷈ˈsɐ᷈ɐ]᷈	Marubo	1	U+005b U+0075 U+1dc8 U+02c8 U+0073 U+0250 U+1dc8 U+0250 U+005d U+1dc8
^ós	ós	ósã	Marinawa	1	U+005e U+00f3 U+0073
ˈoʂɨ_[ˈoʂɨʔ]	<???>	ˈoʂɨ_[ˈoʂɨʔ]	Marubo	1	U+02c8 U+006f U+0282 U+0268 U+005f U+005b U+02c8 U+006f U+0282 U+0268 U+0294 U+005d
ˈd	d	u᷈hu᷈ˈde	Poyanawa	1	U+02c8 U+0064
<	<?>	nɔɔ_<_nawa	Kakataibo	1	U+003c
“	<?>	--._“Según_Loriot	Mayoruna	1	U+201c
S	<?>	--._“Según_Loriot	Mayoruna	1	U+0053
sh	sh	los_shipibo_consideran_que	Mayoruna	1	U+0073 U+0068
^y$	y	y	Mayoruna	1	U+005e U+0079 U+0024
272	<?>	juego_272.”	Mayoruna	1	U+0032 U+0037 U+0032
”$	<?>	juego_272.”	Mayoruna	1	U+201d U+0024
haˈlɨ_[haˈlə]	<???>	haˈlɨ_[haˈlə]	Kaxarari	1	U+0068 U+0061 U+02c8 U+006c U+0268 U+005f U+005b U+0068 U+0061 U+02c8 U+006c U+0259 U+005d
haˈlɨ_[ɦaˈlɨ]	<???>	haˈlɨ_[ɦaˈlɨ]	Kaxarari	1	U+0068 U+0061 U+02c8 U+006c U+0268 U+005f U+005b U+0266 U+0061 U+02c8 U+006c U+0268 U+005d
$	<?>	ãsi᷈ɸ	Marubo	1	U+f028 U+0024
koʃtin_[ʔɔʃti᷈n]	<???>	koʃtin_[ʔɔʃti᷈n]	Korubo	1	U+006b U+006f U+0283 U+0074 U+0069 U+006e U+005f U+005b U+0294 U+0254 U+0283 U+0074 U+0069 U+1dc8 U+006e U+005d
nʂ	nʂ	hanʂβá-	Kapanawa	1	U+006e U+0282
ati_[ˈātĭ]	<???>	ati_[ˈātĭ]	Marubo	1	U+0061 U+0074 U+0069 U+005f U+005b U+02c8 U+0101 U+0074 U+012d U+005d
awã_ʂoβo_[awa᷈_ʂofu]	<???>	awã_ʂoβo_[awa᷈_ʂofu]	Marubo	1	U+0061 U+0077 U+00e3 U+005f U+0282 U+006f U+03b2 U+006f U+005f U+005b U+0061 U+0077 U+0061 U+1dc8 U+005f U+0282 U+006f U+0066 U+0075 U+005d
vaɾi_[ˈɸari]	<???>	vaɾi_[ˈɸari]	Marubo	1	U+0076 U+0061 U+027e U+0069 U+005f U+005b U+02c8 U+0278 U+0061 U+0072 U+0069 U+005d
badi_[baˈɾi]	<???>	badi_[baˈɾi]	MattisList	1	U+0062 U+0061 U+0064 U+0069 U+005f U+005b U+0062 U+0061 U+02c8 U+027e U+0069 U+005d
badiad_[badyád]	<???>	badiad_[badyád]	Mayoruna	1	U+0062 U+0061 U+0064 U+0069 U+0061 U+0064 U+005f U+005b U+0062 U+0061 U+0064 U+0079 U+00e1 U+0064 U+005d
í᷈$	í᷈	βatʃí᷈	ShipiboKonibo	1	U+00ed U+1dc8 U+0024
βai_[βaˈiʔ]	<???>	βai_[βaˈiʔ]	Katukina	1	U+03b2 U+0061 U+0069 U+005f U+005b U+03b2 U+0061 U+02c8 U+0069 U+0294 U+005d
O	<?>	bɨta_<<O>>	Mayoruna	1	U+004f
habɨlaˈkɨ_[ɦaβɨlaˈkɨ]	<???>	habɨlaˈkɨ_[ɦaβɨlaˈkɨ]	Kaxarari	1	U+0068 U+0061 U+0062 U+0268 U+006c U+0061 U+02c8 U+006b U+0268 U+005f U+005b U+0266 U+0061 U+03b2 U+0268 U+006c U+0061 U+02c8 U+006b U+0268 U+005d
bɨumi_[bɨwˈmi]	<???>	bɨumi_[bɨwˈmi]	Kaxarari	1	U+0062 U+0268 U+0075 U+006d U+0069 U+005f U+005b U+0062 U+0268 U+0077 U+02c8 U+006d U+0069 U+005d
βɨmanɨ_[βɨˈmanɨ	<???>	βɨmanɨ_[βɨˈmanɨ	Marubo	1	U+03b2 U+0268 U+006d U+0061 U+006e U+0268 U+005f U+005b U+03b2 U+0268 U+02c8 U+006d U+0061 U+006e U+0268
βɨmaˈna_[βɨmɐˈna]	<???>	βɨmaˈna_[βɨmɐˈna]	Katukina	1	U+03b2 U+0268 U+006d U+0061 U+02c8 U+006e U+0061 U+005f U+005b U+03b2 U+0268 U+006d U+0250 U+02c8 U+006e U+0061 U+005d
βɨmaˈnan_[βɨmaˈnɐ᷈	<???>	βɨmaˈnan_[βɨmaˈnɐ᷈	Yawanawa	1	U+03b2 U+0268 U+006d U+0061 U+02c8 U+006e U+0061 U+006e U+005f U+005b U+03b2 U+0268 U+006d U+0061 U+02c8 U+006e U+0250 U+1dc8
bɨˈnɨ_[βɨˈnɨ]	<???>	bɨˈnɨ_[βɨˈnɨ]	Kaxarari	1	U+0062 U+0268 U+02c8 U+006e U+0268 U+005f U+005b U+03b2 U+0268 U+02c8 U+006e U+0268 U+005d
vɨɾo_[ˈβɨɾo]	<???>	vɨɾo_[ˈβɨɾo]	Marubo	1	U+0076 U+0268 U+027e U+006f U+005f U+005b U+02c8 U+03b2 U+0268 U+027e U+006f U+005d
βɨɾu_[βɨˈɾo]	<???>	βɨɾu_[βɨˈɾo]	Katukina	1	U+03b2 U+0268 U+027e U+0075 U+005f U+005b U+03b2 U+0268 U+02c8 U+027e U+006f U+005d
^_$	_	--_	Mayoruna	1	U+005e U+005f U+0024
M$	<?>	un_ejemplo_M	Marinawa	1	U+004d U+0024
W	<?>	ver_War	Amawaka	1	U+0057
íí	íí	wíí_I	Amawaka	1	U+00ed U+00ed
vimi_[ˈvimi	<???>	vimi_[ˈvimi	Marubo	1	U+0076 U+0069 U+006d U+0069 U+005f U+005b U+02c8 U+0076 U+0069 U+006d U+0069
βinna_[βia]	<???>	βinna_[βia]	Katukina	1	U+03b2 U+0069 U+006e U+006e U+0061 U+005f U+005b U+03b2 U+0069 U+0061 U+005d
binuˈni_[binuˈni]	<???>	binuˈni_[binuˈni]	Kaxarari	1	U+0062 U+0069 U+006e U+0075 U+02c8 U+006e U+0069 U+005f U+005b U+0062 U+0069 U+006e U+0075 U+02c8 U+006e U+0069 U+005d
βinu_[vi᷈oʔ]	<???>	βinu_[vi᷈oʔ]	Katukina	1	U+03b2 U+0069 U+006e U+0075 U+005f U+005b U+0076 U+0069 U+1dc8 U+006f U+0294 U+005d
buhiˈlu_[b̄ʊhiˈl̄ʊ]	<???>	buhiˈlu_[b̄ʊhiˈl̄ʊ]	Kaxarari	1	U+0062 U+0075 U+0068 U+0069 U+02c8 U+006c U+0075 U+005f U+005b U+0062 U+0304 U+028a U+0068 U+0069 U+02c8 U+006c U+0304 U+028a U+005d
budɨd_[buˈɾɨd]	<???>	budɨd_[buˈɾɨd]	Mayoruna	1	U+0062 U+0075 U+0064 U+0268 U+0064 U+005f U+005b U+0062 U+0075 U+02c8 U+027e U+0268 U+0064 U+005d
ú$	ú	βuɾú	Kakataibo	1	U+00fa U+0024
buid_[buˈid]	<???>	buid_[buˈid]	Mayoruna	1	U+0062 U+0075 U+0069 U+0064 U+005f U+005b U+0062 U+0075 U+02c8 U+0069 U+0064 U+005d
^β̄	β̄	β̄ʊ	Marubo	1	U+005e U+03b2 U+0304
ʊ$	ʊ	β̄ʊ	Marubo	1	U+028a U+0024
vuu_[βoˈo]	<???>	vuu_[βoˈo]	Katukina	1	U+0076 U+0075 U+0075 U+005f U+005b U+03b2 U+006f U+02c8 U+006f U+005d
óó	óó	wóó_I	Amawaka	1	U+00f3 U+00f3
[hu]	<???>	[hu]	Yawanawa	1	U+005b U+0068 U+0075 U+005d
fusi_[fuˈsiʔ	<???>	fusi_[fuˈsiʔ	Shanenawa	1	U+0066 U+0075 U+0073 U+0069 U+005f U+005b U+0066 U+0075 U+02c8 U+0073 U+0069 U+0294
[əβuʂkaˈta]	<???>	[əβuʂkaˈta]	Kaxarari	1	U+005b U+0259 U+03b2 U+0075 U+0282 U+006b U+0061 U+02c8 U+0074 U+0061 U+005d
ɔ́$	ɔ́	tsɔɔ́	Kakataibo	1	U+0254 U+0301 U+0024
ṍ́$	ṍ	tsiṍ́	ShipiboKonibo	1	U+1e4d U+0301 U+0024
tiu_[teˈoʔ]	<???>	tiu_[teˈoʔ]	Katukina	1	U+0074 U+0069 U+0075 U+005f U+005b U+0074 U+0065 U+02c8 U+006f U+0294 U+005d
ó́$	ó	tsɨó́	Marinawa	1	U+00f3 U+0301 U+0024
nh	nh	apunhalar	Sharanawa	1	U+006e U+0068
tʂokka_[ˈtʂok.ka]	<???>	tʂokka_[ˈtʂok.ka]	Mayoruna	1	U+0074 U+0282 U+006f U+006b U+006b U+0061 U+005f U+005b U+02c8 U+0074 U+0282 U+006f U+006b U+002e U+006b U+0061 U+005d
tʃadak_[tʃaˈɾak]	<???>	tʃadak_[tʃaˈɾak]	Mayoruna	1	U+0074 U+0283 U+0061 U+0064 U+0061 U+006b U+005f U+005b U+0074 U+0283 U+0061 U+02c8 U+027e U+0061 U+006b U+005d
tʃi_[tʃiʔ]	<???>	tʃi_[tʃiʔ]	Marubo	1	U+0074 U+0283 U+0069 U+005f U+005b U+0074 U+0283 U+0069 U+0294 U+005d
tʃiʔi_[tʃiˈʔi]	<???>	tʃiʔi_[tʃiˈʔi]	Kaxarari	1	U+0074 U+0283 U+0069 U+0294 U+0069 U+005f U+005b U+0074 U+0283 U+0069 U+02c8 U+0294 U+0069 U+005d
tʃii_[tʃiˈiʔ]	<???>	tʃii_[tʃiˈiʔ]	Katukina	1	U+0074 U+0283 U+0069 U+0069 U+005f U+005b U+0074 U+0283 U+0069 U+02c8 U+0069 U+0294 U+005d
mapuʔu_[mapɯˈʔɯ]	<???>	mapuʔu_[mapɯˈʔɯ]	Kaxarari	1	U+006d U+0061 U+0070 U+0075 U+0294 U+0075 U+005f U+005b U+006d U+0061 U+0070 U+026f U+02c8 U+0294 U+026f U+005d
[mapuˈʔu]	<???>	[mapuˈʔu]	Kaxarari	1	U+005b U+006d U+0061 U+0070 U+0075 U+02c8 U+0294 U+0075 U+005d
226$	<?>	tʃipṍmi226	Kakataibo	1	U+0032 U+0032 U+0036 U+0024
ɨnɨ_[ɨdɨ]	<???>	ɨnɨ_[ɨdɨ]	Yaminawa	1	U+0268 U+006e U+0268 U+005f U+005b U+0268 U+0064 U+0268 U+005d
^ɨ᷈$	ɨ᷈	ɨ᷈	Kakataibo	1	U+005e U+0268 U+1dc8 U+0024
ˈ$	<?>	iˈsipaˈtʃi_ikˈ	Mayoruna	1	U+02c8 U+0024
