NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID	PROTO_CONCEPT
7920	moer	1033	GRIND	§364	1
7941	septo nasal			§365	1
7962	tombar			§366	1
7983	instrumento musical			§367	1
8005	igual, do mesmo jeito,  também			§368	1
8038	esp. de macaco			§369	1
8059	fio,  corda	1218	ROPE	§370	1
8083	fio			§371	1
8105	guariba (esp. de macaco), mono aullador	433	HOWLER MONKEY	§372	1
8127	machado	677	AXE	§373	1
8148	tabaco	974	TOBACCO	§374	1
8171	cobra	730	SNAKE	§375	1
8193	fazer dieta,  jejum			§376	1
8216	levantar,  suspender			§377	1
8236	esp. de peixe			§378	1
8259	esp. de peixe			§379	1
8264	vestir roupa			§380	1
8285	vestir roupa			§381	1
8308	quati	2389	COATI (COATIMUNDI)	§382	1
8328	bom,  bonito	1035	GOOD	§383	1
8349	peito (prefixo parte do corpo)	1592	CHEST	§384	1
8372	esp. de planta			§385	1
8391	esp. de aranha			§386	1
8412	pensar	2271	THINK	§387	1
8435	esp. de macaco			§388	1
8456	pium (esp.demosca)			§389	1
8477	macaco sagui			§390	1
8499	claridade			§391	1
8522	tamanduá	181	ANTEATER	§392	1
8544	cortar	1432	CUT	§393	1
8565	bocejar	1028	YAWN	§394	1
8587	casca de árvore,  pele	763	SKIN	§395	1
8609	quente	1286	HOT	§396	1
8630	cunhada, esposa,  prima cruzada	1199	WIFE	§397	1
8649	osso	1394	BONE	§398	1
8673	algodão	1850	COTTON	§399	1
8693	pilão,  pedra	857	STONE	§400	1
8716	esp. de cabaça			§401	1
8740	esp. de arara			§402	1
8760	jabuti	3949	RED-FOOTED TORTOISE	§403	1
8781	canadeaçúcar(?)			§404	1
8801	canadeaçúcar(?)			§405	1
8823	debulhar o milho			§406	1
8843	esp. de palmeira			§407	1
8865	esp. de lagartixa			§408	1
8887	esp. de lagartixa			§409	1
8909	esp. de lagarta			§410	1
8930	esp. de árvore			§411	1
8951	gordura,  óleo	323	FAT (ORGANIC SUBSTANCE)	§412	1
8974	velho	406	OLD MAN	§413	1
8997	dente,  bico (de ave)	1380	TOOTH	§414	1
9018	urubu	1185	VULTURE	§415	1
9038	cheirar	1586	SMELL (PERCEIVE)	§416	1
9059	teto (feito de palha)			§417	1
9082	benefactivo			§418	1
9104	sufixo de concordancia transitiva			§419	1
9124	assar	1962	ROAST (SOMETHING)	§420	1
9145	agulha	1382	NEEDLE (FOR SEWING)	§421	1
9166	coçar,  coceira			§422	1
9188	gordo	1279	FAT (OBESE)	§423	1
9210	casa	1252	HOUSE	§424	1
9230	descascar	275	PEEL	§425	1
9251	esp. de tucano grande			§426	1
9272	pequeno	1246	SMALL	§427	1
9293	pelar-se,  mudar de pele			§428	1
9314	seios,  leite	635	MILK	§429	1
9335	verde, nãomaduro	1425	GREEN	§430	1
9356	mamão	2445	PAPAYA	§431	1
9377	mamão	2445	PAPAYA	§432	1
9398	peito	1592	CHEST	§433	1
9420	menina,  moça	77	YOUNG WOMAN	§434	1
9444	rato	1490	RAT	§435	1
9469	pé	1301	FOOT	§436	1
9492	tapiri,  casa temporária			§437	1
9513	fígado	1224	LIVER	§438	1
9534	amendoim	595	GROUNDNUT (PEANUT)	§439	1
9555	bochecha	1730	CHEEK	§440	1
9577	bochecha	1730	CHEEK	§441	1
9599	esp. de palmeira			§442	1
9622	ponte,  plataforma	1011	BRIDGE	§443	1
9643	raiz	670	ROOT	§444	1
9664	pau velho,  pau podre			§445	1
9685	rodar			§446	1
9708	roupa	1895	CLOTHES	§447	1
9728	tipodecesto			§448	1
9748	sal	1274	SALT	§449	1
9756	pauzada (amontoado de tronco que desce no rio)			§450	1
9776	taboca utilizada para fazer flechas			§451	1
9798	quebrar			§452	1
9820	zarabatana	432	BLOWGUN	§453	1
9841	broto			§454	1
9863	pescoço	1333	NECK	§455	1
9889	esp. de gavião			§456	1
9910	pomo de adão			§457	1
9932	nominalizador de instrumento			§458	1
9952	bater,  golpear	1433	HIT	§459	1
9976	espingarda	3948	SHOTGUN	§460	1
10001	coador			§461	1
10022	engravidar,  dar a luz			§462	1
10047	esp.derãousapo			§463	1
10067	azul escuro			§464	1
10087	verruga			§465	1
10108	fazer	813	DO	§466	1
10117	fazer	813	DO	§467	1
10137	água,  rio	948	WATER	§468	1
10158	esp. depeixe			§469	1
10179	pupunha	3919	PEACH PALM	§470	1
10200	esp. de abóbora			§471	1
10221	esp.demacaco			§472	1
10241	varrer,  ciscar	230	SWEEP	§473	1
10261	erva			§474	1
10284	teia de aranha	1065	SPIDER WEB	§475	1
10305	algodão	1850	COTTON	§476	1
10327	sufixo verbal imperativo			§477	1
10348	igarapé (?)			§478	1
10368	outro	197	OTHER	§479	1
10388	um (numeral)	1493	ONE	§480	1
10411	canela,  parte inferior da perna			§481	1
10432	cheiro			§482	1
10452	remar	1849	ROW	§483a	1
10472	remo	3137	OAR	§483b	1
10492	remo	3137	OAR	§484	1
10513	borduna,  bastão			§485	1
10535	passar			§486	1
10556	pantorrilha			§487	1
10576	negro			§488	1
10597	estrela	1430	STAR	§489	1
10622	com,  empossede			§490	1
10643	esp. de carrapato			§491	1
10666	cidade,  assentamento	1391	TOWN	§492	1
10688	sufixo negativo			§493	1
10718	escuro,  noite	1233	NIGHT	§494	1
10739	machado	677	AXE	§495	1
10761	peixe	227	FISH	§496	1
10782	tarde	1807	AFTERNOON	§497	1
10802	esp. de queixada (porco do mato)			§498	1
10824	esp. de tatu			§499	1
10848	dizer,  falar	1458	SAY	§500	1
10870	animal	619	ANIMAL	§501	1
10892	calor,  quente	1286	HOT	§502	1
10913	ter febre,  esquentar-se			§502a	1
10935	feiticeiro			§503	1
10957	esp. de pimenta			§504	1
10978	perguntar	1309	ASK (INQUIRE)	§505	1
10999	esp.depeixe			§506	1
11020	fio, linha,  corda	1218	ROPE	§507	1
11042	roubar	713	STEAL	§508	1
11064	gente,  corpo humano	683	PERSON	§509	1
11088	crescer	479	GROW	§510	1
11109	espírito			§511	1
11133	mulher, velha	962	WOMAN	§512	1
